name,email,phone,brokerage,metro_area,state,license_number,years_experience,transaction_volume,cream_fit_score,priority_tier,date_added
Peter Garcia,garciap@cbrealty.com,(310) 546-9318,The Agency,"Riverside, CA",CA,BRE8671460,1,1,67,B,2026-04-05
George White,georgew@realtor.com,(815) 882-4812,Hill Country Real Estate,"Oak Park, IL",IL,4755423687,24,81,95,A,2026-04-05
Patrick Jackson,patrick13@sothebysrealty.com,(773) 989-2807,Berkshire Hathaway HomeServices,"Corpus Christi, IL",IL,4756409102,1,7,68,B,2026-04-05
Juan King,juank@sothebysrealty.com,(520) 431-6739,Corcoran,"Fort Worth, AZ",AZ,AZ3552386,9,22,89,A,2026-04-05
Joe Ramirez,joe33@compass.com,(469) 873-7142,Long & Foster,"McAllen, TX",TX,TREC8849506,7,27,87,B,2026-04-05
Arthur Miller,arthur_miller@century21.com,(770) 300-3539,Briggs Freeman,"Dallas, GA",GA,GA6010891,24,26,94,A,2026-04-05
Stephen Garcia,stephen_garcia@century21.com,(614) 285-8376,Berkshire Hathaway HomeServices,"Fort Worth, OH",OH,R.E.7573320,16,44,97,A,2026-04-05
Donna Rivera,donna81@hotmail.com,(713) 393-1738,Windermere,"Odessa, TX",TX,TREC6115008,14,71,93,C,2026-04-05
Kathryn Allen,kallen@remax.net,(224) 484-8224,Realty ONE Group,"Beaumont, IL",IL,4752403252,15,51,96,C,2026-04-05
Sharon Roberts,sroberts@expworldholdings.com,(928) 669-7596,Briggs Freeman,"Chandler, AZ",AZ,AZ4616350,21,50,94,C,2026-04-05
Edward Miller,edwardm@halstead.com,(618) 746-4930,Halstead,"Chicago, IL",IL,4758435755,22,82,87,A,2026-04-05
Samuel Foster,samuel_foster@icloud.com,(828) 535-7175,Realogics Sotheby's,"Charlotte, NC",NC,NC4593659,3,12,66,B,2026-04-05
Joshua Ramos,ramosj@gmail.com,(252) 806-4630,William Pitt,"Asheville, NC",NC,NC6391151,10,32,98,C,2026-04-05
William Garcia,williamg@kw.com,(704) 900-1730,JP & Associates,"Charlotte, NC",NC,NC4906280,3,17,77,B,2026-04-05
Susan Diaz,sdiaz@compass.com,(813) 296-1152,Tampa Bay Elite,"Daytona Beach, FL",FL,BK6388272,5,8,71,C,2026-04-05
Brian Russell,brian.russell@compass.com,(770) 441-9679,Miami Beach Realty,"Roswell, GA",GA,GA8985142,11,46,93,C,2026-04-05
Anthony Peterson,anthony_peterson@realtor.com,(478) 484-5103,Brown Harris Stevens,"Savannah, GA",GA,GA9205475,15,59,100,B,2026-04-05
Thomas Collins,thomas.collins@berkshirehathaway.com,(623) 387-1152,Austin Home Girls,"Tucson, AZ",AZ,AZ4652719,0,4,70,B,2026-04-05
Judy Carter,judy.carter@realtor.com,(915) 321-1723,Douglas Elliman,"Midland, TX",TX,TREC5734652,1,4,60,C,2026-04-05
Daniel Jenkins,djenkins@gmail.com,(347) 577-1579,eXp Realty,"Midland, NY",NY,104916147735,25,34,85,C,2026-04-05
Donald Nelson,donald.nelson@gmail.com,(910) 966-7469,Sotheby's International Realty,"Charlotte, NC",NC,NC1956317,8,24,77,B,2026-04-05
Brenda Mendoza,brenda.mendoza@daveperrymiller.com,(631) 408-5595,Dave Perry Miller,"Beaumont, NY",NY,104912997976,0,5,60,C,2026-04-05
Arthur Carter,cartera@realtor.com,(330) 623-7670,Corcoran,"Cincinnati, OH",OH,R.E.7212027,20,38,93,B,2026-04-05
Dylan Torres,dylan.torres2@compass.com,(727) 865-1455,Dave Perry Miller,"Sarasota, FL",FL,BK8719966,13,55,89,B,2026-04-05
Amy Harris,aharris@kw.com,(252) 940-8352,Brown Harris Stevens,"Dallas, NC",NC,NC5858875,1,8,69,A,2026-04-05
Brenda Ortiz,brenda98@redfin.com,(919) 284-4719,The Collective,"Houston, NC",NC,NC2116841,7,21,87,A,2026-04-05
Joe Rogers,joe.rogers@miamibeachrealty.com,(602) 541-5078,Miami Beach Realty,"Houston, AZ",AZ,AZ3241169,1,3,62,A,2026-04-05
Stephanie Lopez,stephanie.lopez@hotmail.com,(928) 546-7941,Century 21,"Houston, AZ",AZ,AZ3598278,16,40,87,A,2026-04-05
Mark Peterson,petersonm@windermere.com,(252) 966-6575,Windermere,"Winston-Salem, NC",NC,NC2968599,19,28,90,B,2026-04-05
Alexander Garcia,alexander.garcia4@longfoster.com,(419) 357-1105,Long & Foster,"Fort Worth, OH",OH,R.E.5385989,3,10,73,A,2026-04-05
Helen Price,helen.price9@expworldholdings.com,(707) 690-7150,Ebby Halliday,"Bakersfield, CA",CA,BRE6523384,13,49,92,B,2026-04-05
Steven Johnson,steven.johnson3@austinhomegirls.com,(718) 417-4750,Austin Home Girls,"El Paso, NY",NY,104911862777,8,33,88,B,2026-04-05
Barbara Thomas,barbara_thomas@redfin.com,(239) 501-5519,Halstead,"West Palm Beach, FL",FL,BK9480548,10,40,85,B,2026-04-05
Mark Smith,mark.smith5@gmail.com,(480) 427-3162,Miami Beach Realty,"Dallas, AZ",AZ,AZ8047306,22,68,89,A,2026-04-05
Eric Brooks,ebrooks@elliman.com,(440) 253-3297,Brown Harris Stevens,"San Antonio, OH",OH,R.E.4012741,13,54,94,A,2026-04-05
Brian Alvarez,brian.alvarez6@century21.com,(949) 534-8854,Redfin,"Modesto, CA",CA,BRE9196129,5,5,76,C,2026-04-05
Kenneth Ramirez,kenneth.ramirez@cbrealty.com,(917) 291-3715,Corcoran,"El Paso, NY",NY,104919616435,24,59,100,B,2026-04-05
Margaret Harris,harrism@miamibeachrealty.com,(928) 717-7943,Miami Beach Realty,"Dallas, AZ",AZ,AZ9484960,15,36,96,A,2026-04-05
Deborah Nelson,deborahn@remax.net,(210) 633-1237,Dave Perry Miller,"Beaumont, TX",TX,TREC7841826,13,60,89,C,2026-04-05
Henry Diaz,henryd@gmail.com,(512) 947-4201,Berkshire Hathaway,"Fort Worth, TX",TX,TREC4278106,17,47,87,A,2026-04-05
Kevin Ward,kevin.ward@theagency.com,(919) 210-3558,The Agency,"Gastonia, NC",NC,NC1526663,1,6,67,C,2026-04-05
Kimberly Collins,kimberly_collins@realty.com,(706) 896-6536,Julie Harris Realty,"Savannah, GA",GA,GA2151757,5,5,63,B,2026-04-05
Melissa Torres,melissa5@outlook.com,(910) 774-6985,Redfin,"Durham, NC",NC,NC8415761,23,42,98,B,2026-04-05
Jack Thomas,jack.thomas4@elliman.com,(773) 344-9301,William Pitt,"Lubbock, IL",IL,4758630932,23,61,88,B,2026-04-05
William Jones,william_jones@outlook.com,(520) 920-3482,eXp Realty,"Fort Worth, AZ",AZ,AZ4901598,5,18,71,A,2026-04-05
Donald Gomez,donald.gomez2@yahoo.com,(210) 641-2882,The Collective,"Houston, TX",TX,TREC7007973,19,34,96,A,2026-04-05
Betty Cruz,betty85@elliman.com,(520) 656-3077,Realogics Sotheby's,"Fort Worth, AZ",AZ,AZ7250014,6,25,89,A,2026-04-05
Michelle Murphy,mmurphy@hotmail.com,(717) 458-8507,Tampa Bay Elite,"Philadelphia, PA",PA,RS343912,3,19,76,B,2026-04-05
Catherine Price,cprice@sothebysinternationalrealty.com,(216) 532-9481,Sotheby's International Realty,"Cleveland, OH",OH,R.E.3156776,19,32,89,B,2026-04-05
Deborah Rodriguez,deborah_rodriguez@redfin.com,(928) 446-8605,Redfin,"San Antonio, AZ",AZ,AZ4723951,15,30,90,A,2026-04-05
Christine Evans,christinee@outlook.com,(213) 420-7465,Miami Beach Realty,"San Jose, CA",CA,BRE5096022,18,71,97,A,2026-04-05
Walter Nguyen,nguyenw@hotmail.com,(956) 366-2236,Brown Harris Stevens,"Dallas, TX",TX,TREC1234452,20,78,89,A,2026-04-05
Paul Davis,pdavis@briggsfreeman.com,(928) 648-3779,Briggs Freeman,"Tucson, AZ",AZ,AZ7168752,23,46,95,B,2026-04-05
Kenneth Davis,kenneth.davis@kw.com,(512) 335-4487,Redfin,"Houston, TX",TX,TREC4209670,24,78,100,A,2026-04-05
Nicholas Ramirez,nicholas.ramirez8@century21.com,(312) 708-8908,eXp Realty,"Lubbock, IL",IL,4757551156,21,82,100,B,2026-04-05
Stephanie Flores,stephanie.flores8@sothebysinternationalrealty.com,(706) 510-9365,Sotheby's International Realty,"San Antonio, GA",GA,GA6313022,1,8,60,A,2026-04-05
Gary Davis,gary.davis@julieharrisrealty.com,(530) 565-7054,Julie Harris Realty,"Santa Rosa, CA",CA,BRE5487647,2,8,60,C,2026-04-05
