full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Michelle Miller,Michelle,Miller,michelle80@elliman.com,(442) 296-6069,Berkshire Hathaway,Minneapolis,MN,25,43,5525034,MN543903,MN,4.5,89,B,realtor_scraper,2026-04-19T07:02:46.059050+00:00
Anna Walker,Anna,Walker,annaw@outlook.com,(281) 384-6421,Berkshire Hathaway,San Jose,CA,21,47,14105873,CA316251,CA,4.7,77,B,realtor_scraper,2026-04-19T07:02:46.059079+00:00
Stephen Morris,Stephen,Morris,smorris@outlook.com,(747) 624-2464,Beazer Homes,Phoenix,AZ,6,15,5123317,AZ352141,AZ,4.0,87,A,realtor_scraper,2026-04-19T07:02:46.059094+00:00
Timothy Ramirez,Timothy,Ramirez,timothy.ramirez@gmail.com,(707) 836-4418,D.R. Horton,Chicago,IL,25,12,7334484,IL699031,IL,4.3,81,A,realtor_scraper,2026-04-19T07:02:46.059111+00:00
Ronald Kelly,Ronald,Kelly,ronaldk@exprealty.com,(364) 887-3983,D.R. Horton,Richmond,VA,9,37,8782889,VA308698,VA,4.4,63,C,realtor_scraper,2026-04-19T07:02:46.059122+00:00
Frank Reyes,Frank,Reyes,frank.reyes@compass.com,(504) 817-3132,Toll Brothers,Columbus,OH,7,47,5418850,OH107931,OH,3.5,69,B,realtor_scraper,2026-04-19T07:02:46.059132+00:00
Dorothy Ramirez,Dorothy,Ramirez,ramirez.dorothy@kw.com,(717) 936-9080,ERA,Sacramento,CA,11,14,3402584,CA738340,CA,3.6,86,B,realtor_scraper,2026-04-19T07:02:46.059142+00:00
Jack Thompson,Jack,Thompson,thompson.jack@remax.net,(220) 537-7724,Douglas Elliman,Cincinnati,OH,15,41,8008985,OH352936,OH,4.7,67,B,realtor_scraper,2026-04-19T07:02:46.059152+00:00
Gary Kelly,Gary,Kelly,gkelly@coldwellbanker.com,(936) 864-3221,Beazer Homes,Raleigh,NC,22,33,7243948,NC844048,NC,4.3,76,B,realtor_scraper,2026-04-19T07:02:46.059165+00:00
Rachel Davis,Rachel,Davis,rachel99@realtyonegroup.com,(210) 227-9781,Weichert,Richmond,VA,11,45,5366334,VA622858,VA,3.6,71,C,realtor_scraper,2026-04-19T07:02:46.059175+00:00
Raymond Walker,Raymond,Walker,raymondw@exprealty.com,(609) 558-9499,Century Communities,New Orleans,LA,25,20,14980378,LA814493,LA,4.9,75,C,realtor_scraper,2026-04-19T07:02:46.059184+00:00
