id,full_name,first_name,last_name,email,phone,brokerage,metro_area,state,city,years_experience,transactions_12mo,transaction_volume,sales_volume,license_number,license_state,rating,cream_fit_score,priority_tier,priority,source,scraped_at
395,Nicholas Rodriguez,Nicholas,Rodriguez,nicholas.rodriguez@gmail.com,(702) 645-3253,Sierra Sotheby's,Seattle,WA,Seattle,5,10,10,2919620,WA645510,WA,4.0,74,A,A,realtor_scraper,2026-05-25T07:07:18.024316+00:00
364,Eugene Myers,Eugene,Myers,eugene.myers@kw.com,(314) 376-1582,@properties,Tampa,FL,Tampa,7,38,38,17556988,FL307504,FL,3.6,82,A,A,realtor_scraper,2026-05-25T07:07:18.023868+00:00
402,Angela Jimenez,Angela,Jimenez,ajimenez@compass.com,(971) 925-4592,Ebby Halliday Realtors,Greenville,SC,Greenville,21,37,37,20764881,SC943879,SC,4.7,80,B,B,realtor_scraper,2026-05-25T07:07:18.024631+00:00
869,Brandon Cox,Brandon,Cox,bcox@kw.com,(901) 312-3538,Coldwell Banker Residential,Albuquerque,NM,Albuquerque,0,4,4,1607444,NM724631,NM,4.0,83,C,C,realtor_scraper,2026-05-25T07:07:18.034557+00:00
671,Helen Cole,Helen,Cole,helen_cole@compass.com,(817) 542-4254,Realogy,Minneapolis,MN,Minneapolis,20,40,40,26593600,MN452087,MN,4.6,67,B,B,realtor_scraper,2026-05-25T07:07:18.032337+00:00
646,Cynthia Walker,Cynthia,Walker,walker.cynthia@coldwellbanker.com,(615) 850-9494,Pacific Union,Virginia Beach,VA,Virginia Beach,4,12,12,3930288,VA539575,VA,4.2,65,B,B,realtor_scraper,2026-05-25T07:07:18.032043+00:00
69,Mark Torres,Mark,Torres,mtorres@remax.net,(831) 885-8377,Realty ONE Group,Boulder,CO,Boulder,2,12,12,6387180,CO730781,CO,4.1,73,A,A,realtor_scraper,2026-05-25T07:07:18.011777+00:00
232,Jacob Jackson,Jacob,Jackson,jacob.jackson@remax.net,(310) 470-5209,RE/MAX,Orlando,FL,Orlando,5,25,25,13557725,FL811480,FL,4.6,87,A,A,realtor_scraper,2026-05-25T07:07:18.021272+00:00
582,Sandra Carter,Sandra,Carter,sandra_carter@yahoo.com,(215) 219-7930,Golden Gate Sotheby's,Philadelphia,PA,Philadelphia,21,29,29,13691567,PA897731,PA,4.8,62,B,B,realtor_scraper,2026-05-25T07:07:18.029452+00:00
783,Andrea Jackson,Andrea,Jackson,andrea.jackson@redfin.com,(623) 863-5828,Redfin,Omaha,NE,Omaha,0,12,12,8469084,NE421993,NE,4.4,64,C,C,realtor_scraper,2026-05-25T07:07:18.033646+00:00
512,Michelle Martin,Michelle,Martin,martin.michelle@yahoo.com,(305) 451-1002,Jameson Sotheby's,Ann Arbor,MI,Ann Arbor,10,45,45,25818255,MI949444,MI,4.7,84,B,B,realtor_scraper,2026-05-25T07:07:18.026264+00:00
891,Janet Miller,Janet,Miller,janetm@remax.net,(667) 344-7487,RE/MAX Advantage,Burlington,VT,Burlington,15,39,39,14552070,VT806866,VT,4.8,70,C,C,realtor_scraper,2026-05-25T07:07:18.034830+00:00
954,Charles Flores,Charles,Flores,charles68@remax.net,(574) 574-8390,Douglas Elliman,New Orleans,LA,New Orleans,1,6,6,1684452,LA360751,LA,4.1,74,C,C,realtor_scraper,2026-05-25T07:07:18.041272+00:00
250,Jacqueline Taylor,Jacqueline,Taylor,jacqueline_taylor@outlook.com,(908) 671-1924,Realty ONE Group,Bellevue,WA,Bellevue,18,26,26,16255226,WA818998,WA,4.3,72,A,A,realtor_scraper,2026-05-25T07:07:18.021670+00:00
719,Zachary Griffin,Zachary,Griffin,griffin.zachary@outlook.com,(812) 858-5156,Green Residential,Memphis,TN,Memphis,5,19,19,12326250,TN118254,TN,4.2,93,B,B,realtor_scraper,2026-05-25T07:07:18.032911+00:00
544,Zachary Anderson,Zachary,Anderson,zachary61@remax.net,(413) 693-7825,McEnearney Associates,Greensboro,NC,Greensboro,15,31,31,15158721,NC751202,NC,3.8,85,B,B,realtor_scraper,2026-05-25T07:07:18.028782+00:00
260,Linda James,Linda,James,linda_james@kw.com,(607) 721-6753,Keller Williams,San Francisco,CA,San Francisco,6,43,43,30566593,CA2440901,CA,4.3,68,A,A,realtor_scraper,2026-05-25T07:07:18.021881+00:00
280,Gregory Hernandez,Gregory,Hernandez,gregoryh@compass.com,(701) 559-4612,Beacham & Company,Boulder,CO,Boulder,17,30,30,17421330,CO963403,CO,4.8,95,A,A,realtor_scraper,2026-05-25T07:07:18.022221+00:00
363,Ryan Reyes,Ryan,Reyes,rreyes@gmail.com,(219) 313-6940,Howard Hanna,Oakland,CA,Oakland,21,28,28,11300156,CA1667450,CA,3.7,67,A,A,realtor_scraper,2026-05-25T07:07:18.023854+00:00
690,Grace Jordan,Grace,Jordan,gracej@kw.com,(330) 500-8879,Deasy Penner Podley,Alexandria,VA,Alexandria,12,39,39,17811690,VA450758,VA,3.9,99,B,B,realtor_scraper,2026-05-25T07:07:18.032551+00:00
836,Angela Cook,Angela,Cook,angela79@remax.net,(251) 859-6056,The Michael Group,Sioux Falls,SD,Sioux Falls,4,15,15,8327190,SD307547,SD,4.7,63,C,C,realtor_scraper,2026-05-25T07:07:18.034206+00:00
905,Marilyn Jones,Marilyn,Jones,marilyn9@compass.com,(458) 797-7190,TTR Sotheby's,Boise,ID,Boise,1,10,10,4912090,ID505926,ID,3.9,94,C,C,realtor_scraper,2026-05-25T07:07:18.035024+00:00
828,Wayne Taylor,Wayne,Taylor,waynet@compass.com,(475) 546-9306,RealtySouth,Billings,MT,Billings,23,35,35,14201460,MT663266,MT,4.3,75,C,C,realtor_scraper,2026-05-25T07:07:18.034125+00:00
733,Teresa Adams,Teresa,Adams,tadams@kw.com,(650) 430-1492,Berkshire Hathaway HomeServices Texas,Bethesda,MD,Bethesda,17,26,26,10180352,MD243607,MD,4.2,95,B,B,realtor_scraper,2026-05-25T07:07:18.033074+00:00
