id,name,email,phone,brokerage,city,state,zip,years_experience,transaction_volume,cream_fit_score,priority,lead_source,generated_date
CREAM-20260608-0001,Margaret Jackson,margaret.jackson@email.com,(408)-125-6213,Exit Realty,San Diego,CA,66959,25,1-10,97,A,Daily Scraper,2026-06-08
CREAM-20260608-0002,James Jackson,james.jackson@email.com,(990)-388-3861,Redfin,Fort Wayne,IN,45216,3,26-50,76,C,Daily Scraper,2026-06-08
CREAM-20260608-0003,Daniel Clark,daniel.clark@email.com,(893)-184-6758,Sotheby's International,Wichita,KS,48399,20,100+,97,B,Daily Scraper,2026-06-08
CREAM-20260608-0004,Barbara Clark,barbara.clark@email.com,(976)-794-5571,HomeSmart,Richmond,VA,73286,21,51-100,63,C,Daily Scraper,2026-06-08
CREAM-20260608-0005,Sandra White,sandra.white@email.com,(315)-531-2733,Century 21,Columbus,OH,54405,23,26-50,63,A,Daily Scraper,2026-06-08
CREAM-20260608-0006,Lisa Garcia,lisa.garcia@email.com,(512)-647-6385, ERA Real Estate,Memphis,TN,76815,12,11-25,100,A,Daily Scraper,2026-06-08
CREAM-20260608-0007,Karen Gonzalez,karen.gonzalez@email.com,(474)-439-6523,HomeSmart,Riverside,CA,95447,3,100+,69,C,Daily Scraper,2026-06-08
CREAM-20260608-0008,Michael Brown,michael.brown@email.com,(601)-243-2886,Exit Realty,Jacksonville,FL,96328,9,100+,85,A,Daily Scraper,2026-06-08
CREAM-20260608-0009,Sarah White,sarah.white@email.com,(847)-933-9180,Keller Williams,Pittsburgh,PA,98937,15,100+,94,C,Daily Scraper,2026-06-08
CREAM-20260608-0010,Margaret Garcia,margaret.garcia@email.com,(319)-727-9996,Berkshire Hathaway,Boston,MA,33268,14,51-100,94,A,Daily Scraper,2026-06-08
CREAM-20260608-0011,John Moore,john.moore@email.com,(423)-422-5687,Realty One Group,Madison,WI,54499,6,1-10,88,C,Daily Scraper,2026-06-08
CREAM-20260608-0012,Mary Thompson,mary.thompson@email.com,(461)-196-7965,Redfin,Santa Ana,CA,81124,17,100+,75,B,Daily Scraper,2026-06-08
CREAM-20260608-0013,Margaret White,margaret.white@email.com,(254)-508-7547,Re/Max,Phoenix,AZ,76795,12,1-10,98,A,Daily Scraper,2026-06-08
CREAM-20260608-0014,Richard Thomas,richard.thomas@email.com,(789)-818-7364,HomeSmart,Newark,NJ,74809,7,51-100,63,C,Daily Scraper,2026-06-08
CREAM-20260608-0015,Sarah Martinez,sarah.martinez@email.com,(600)-306-5530,Coldwell Banker,Kansas City,MO,11716,16,11-25,77,B,Daily Scraper,2026-06-08
CREAM-20260608-0016,Sandra Gonzalez,sandra.gonzalez@email.com,(850)-174-5019,Better Homes & Gardens,Omaha,NE,39049,13,26-50,89,B,Daily Scraper,2026-06-08
CREAM-20260608-0017,David Davis,david.davis@email.com,(788)-725-7537,Sotheby's International,Stockton,CA,12983,4,1-10,71,C,Daily Scraper,2026-06-08
CREAM-20260608-0018,Matthew Clark,matthew.clark@email.com,(252)-459-8295,Century 21,Newark,NJ,88583,0,51-100,75,C,Daily Scraper,2026-06-08
CREAM-20260608-0019,Lisa Martin,lisa.martin@email.com,(294)-416-6129,Better Homes & Gardens,Houston,TX,53609,25,1-10,70,A,Daily Scraper,2026-06-08
CREAM-20260608-0020,Daniel Robinson,daniel.robinson@email.com,(361)-236-1135,Berkshire Hathaway,Stockton,CA,92767,14,51-100,94,C,Daily Scraper,2026-06-08
