full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,source_url,scraped_at
Margaret Wright,Margaret,Wright,margaretwright71@hotmail.com,(864) 682-7365,Keller Williams,Philadelphia,PA,Philadelphia,PA626860,PA,6,8,2320000,78,A,A,4.6,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Barbara Price,Barbara,Price,price.b@outlook.com,(813) 885-6234,Coldwell Banker,Baltimore,MD,Baltimore,MD189050,MD,6,35,14875000,82,B,B,3.8,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
George Hughes,George,Hughes,ghughes@realtor.com,(719) 281-1029,Sotheby's International Realty,Tallahassee,FL,Tallahassee,FL545708,FL,5,6,2400000,61,C,C,4.0,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Scott Rivera,Scott,Rivera,rivera.s@kw.com,(575) 782-4150,HomeSmart,Los Angeles,CA,Los Angeles,CA256940,CA,5,30,22500000,85,A,A,4.0,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Deborah Turner,Deborah,Turner,deborahturner9@sothebysrealty.com,(716) 666-8461,Corcoran Global Living,St. Louis,MO,St. Louis,MO639231,MO,2,12,3120000,64,B,B,3.7,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Jack Cook,Jack,Cook,jack.cook@remax.com,(407) 944-9514,CBRE,Cincinnati,OH,Cincinnati,OH989719,OH,12,8,2000000,69,B,B,4.2,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Pamela Lee,Pamela,Lee,pamela_lee@compass.com,(505) 629-4532,Better Homes and Gardens Real Estate,Cleveland,OH,Cleveland,OH807045,OH,3,12,3000000,75,B,B,3.5,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Christine Hernandez,Christine,Hernandez,hernandez.c@hotmail.com,(208) 594-9648,JLL,Indianapolis,IN,Indianapolis,IN303043,IN,10,8,1920000,79,B,B,3.4,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Jack Wright,Jack,Wright,jackwright@kw.com,(716) 921-8909,Local Brokerage,Orlando,FL,Orlando,FL452816,FL,3,22,8800000,74,B,B,3.2,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Samantha Sanders,Samantha,Sanders,samantha.sanders@remax.com,(215) 758-7928,eXp Realty,Winston-Salem,NC,Winston-Salem,NC906228,NC,2,6,1860000,68,C,C,4.1,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Larry Rodriguez,Larry,Rodriguez,rodriguez.l@yahoo.com,(801) 808-2553,eXp Realty,San Diego,CA,San Diego,CA350115,CA,6,20,15000000,81,A,A,3.9,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Raymond Cooper,Raymond,Cooper,rcooper@compass.com,(303) 908-7726,Zillow Premier Agent,Omaha,NE,Omaha,NE490995,NE,8,12,2760000,90,B,B,4.3,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Ronald Ross,Ronald,Ross,rross@aol.com,(912) 483-3966,Local Brokerage,New York,NY,New York,NY883201,NY,5,35,29750000,73,A,A,3.8,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Rebecca Ross,Rebecca,Ross,rross@remax.com,(619) 873-4716,JPMorgan Real Estate,Baltimore,MD,Baltimore,MD555536,MD,2,45,19125000,88,B,B,4.5,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Katherine Hill,Katherine,Hill,katherine_hill@yahoo.com,(816) 726-9366,Century 21,San Francisco,CA,San Francisco,CA743089,CA,3,16,12000000,91,A,A,4.2,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Thomas Garcia,Thomas,Garcia,thomas_garcia@exp.com,(210) 859-8784,Berkshire Hathaway HomeServices,Seattle,WA,Seattle,WA986250,WA,6,30,18000000,100,A,A,3.6,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Steven Anderson,Steven,Anderson,andersonsteven@yahoo.com,(312) 678-6568,Local Brokerage,Louisville,KY,Louisville,KY743489,KY,4,18,4050000,67,B,B,4.2,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Catherine Jackson,Catherine,Jackson,catherinejackson83@homesmart.com,(402) 286-8116,Marcus & Millichap,Miami,FL,Miami,FL165810,FL,10,12,4800000,82,A,A,3.5,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Sarah Campbell,Sarah,Campbell,sarah.campbell@century21.com,(901) 682-5445,Berkshire Hathaway HomeServices,Seattle,WA,Seattle,WA254969,WA,5,12,7200000,75,A,A,3.9,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Pamela Martin,Pamela,Martin,pamelamartin@realtor.com,(251) 723-5882,Coldwell Banker,Detroit,MI,Detroit,MI811611,MI,7,10,2750000,71,B,B,4.2,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Ruth Rogers,Ruth,Rogers,ruth_rogers@compass.com,(210) 586-6876,Realty ONE Group,New Orleans,LA,New Orleans,LA488163,LA,1,22,5060000,80,B,B,4.3,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
