id,name,email,phone,company,city,state,zip,years_experience,transactions_last_year,priority,cream_fit_score,source,scraped_at
CREAM-20260804-00001,Raymond Kim,raymond.kim@cutlerrealestate.com,(334) 903-4824,Cutler Real Estate,Cleveland,OH,44906,1,7,A,89,Cold Outreach,2026-08-04T21:51:59Z
CREAM-20260804-00002,Joseph Cooper,josephc@aol.com,(602) 514-5728,Compass,Manhattan,NY,13227,3,10,A,63,Trade Show,2026-08-04T22:19:44Z
CREAM-20260804-00003,Nicholas Cooper,nicholascooper@gmail.com,(916) 226-2496,Cutler Real Estate,Cleveland,OH,43790,1,8,A,98,Cold Outreach,2026-08-04T18:01:48Z
CREAM-20260804-00004,Ruth Long,ruth_long@outlook.com,(303) 703-2494,Coldwell Banker,Phoenix,AZ,86456,0,4,A,87,Referral Network,2026-08-04T10:20:42Z
CREAM-20260804-00005,Kevin Evans,kevans@douglaselliman.com,(334) 522-5135,Douglas Elliman,Dallas,TX,77218,23,27,A,89,Referral Network,2026-08-04T16:52:00Z
CREAM-20260804-00006,Michael Harris,michael_harris@me.com,(714) 473-9998,Allen Tate,Raleigh,NC,27394,20,73,A,63,Trade Show,2026-08-04T22:31:07Z
CREAM-20260804-00007,Nicole Perry,nicolep@icloud.com,(334) 430-2858,Sotheby's International,Oakland,CA,93220,6,32,A,86,Brokerage Listings,2026-08-04T15:59:45Z
CREAM-20260804-00008,Rebecca Morris,rebeccam@homesmart.com,(972) 813-9327,HomeSmart,Mesa,AZ,85984,0,3,A,72,MLS Database,2026-08-04T08:49:50Z
CREAM-20260804-00009,Tyler Cook,tylerc@me.com,(646) 875-9022,eXp Realty,Cleveland,OH,43557,15,78,A,97,Website Lead,2026-08-04T15:22:21Z
CREAM-20260804-00010,Dorothy Harris,dharris@aol.com,(513) 684-7246,Berkshire Hathaway,Cleveland,OH,44779,4,9,A,80,Brokerage Listings,2026-08-04T15:02:08Z
CREAM-20260804-00011,Jeffrey Gonzalez,jeffrey.gonzalez@8zrealestate.com,(334) 680-5342,8z Real Estate,Denver,CO,81738,19,80,A,69,Referral Network,2026-08-04T20:05:54Z
CREAM-20260804-00012,Jonathan Carter,jonathan_carter@aol.com,(334) 440-5708,Compass,Aurora,CO,80864,2,3,A,99,MLS Database,2026-08-04T13:06:48Z
CREAM-20260804-00013,Nancy Ruiz,nancy.ruiz@outlook.com,(415) 641-3385,eXp Realty,Austin,TX,76643,7,24,A,82,Referral Network,2026-08-04T18:43:50Z
CREAM-20260804-00014,Daniel Hernandez,dhernandez@hotmail.com,(305) 853-5161,Compass,Tampa,FL,33361,5,12,A,74,NAR Directory,2026-08-04T14:57:18Z
CREAM-20260804-00015,Jeffrey Hall,jeffrey_hall@me.com,(714) 593-8916,Berkshire Hathaway,Miami,FL,32342,4,22,A,79,Referral Network,2026-08-04T18:22:36Z
CREAM-20260804-00016,John James,johnj@longrealty.com,(513) 708-5689,Long Realty,Mesa,AZ,85721,5,9,A,98,Facebook,2026-08-04T07:40:12Z
CREAM-20260804-00017,Benjamin Gonzalez,benjamin_gonzalez@gmail.com,(334) 502-6352,Keller Williams,Tucson,AZ,86279,2,8,A,68,Realtor.com,2026-08-04T04:50:34Z
CREAM-20260804-00018,Nicholas Wright,nwright@coldwellbanker.com,(919) 317-8673,Coldwell Banker,Aurora,CO,80244,15,72,A,81,Realtor.com,2026-08-04T21:46:43Z
CREAM-20260804-00019,George Lopez,georgel@herrealtors.com,(720) 966-5295,HER Realtors,Cincinnati,OH,45490,3,22,A,83,Facebook,2026-08-04T03:43:14Z
CREAM-20260804-00020,Emma Bailey,ebailey@me.com,(972) 917-5951,Allen Tate,Charlotte,NC,28219,8,35,A,89,Brokerage Listings,2026-08-04T01:02:19Z
CREAM-20260804-00021,Richard Walker,richardw@me.com,(513) 944-3531,Coldwell Banker,Charlotte,NC,28770,23,51,A,97,MLS Database,2026-08-04T15:39:26Z
CREAM-20260804-00022,Raymond Mitchell,rmitchell@aol.com,(212) 860-6876,Berkshire Hathaway,Phoenix,AZ,85507,1,4,A,83,LinkedIn,2026-08-04T06:07:54Z
CREAM-20260804-00023,Frank Ramirez,framirez@kellerwilliams.com,(714) 270-4394,Keller Williams,Charlotte,NC,27932,13,33,A,96,Realtor.com,2026-08-04T10:49:09Z
CREAM-20260804-00024,Charles Taylor,charles.taylor@me.com,(415) 443-6304,Berkshire Hathaway HomeServices,San Diego,CA,90278,6,19,A,60,LinkedIn,2026-08-04T01:08:47Z
CREAM-20260804-00025,Joseph Myers,josephm@icloud.com,(407) 426-1710,RE/MAX,Cincinnati,OH,45902,5,11,A,88,Website Lead,2026-08-04T09:29:41Z
CREAM-20260804-00026,Kathleen Phillips,kathleen_phillips@me.com,(310) 822-3430,Compass,Los Angeles,CA,90229,20,29,A,65,LinkedIn,2026-08-04T19:40:37Z
CREAM-20260804-00027,Scott Ortiz,scottortiz@hotmail.com,(513) 420-8046,eXp Realty,Colorado Springs,CO,81333,3,11,A,95,Referral Network,2026-08-04T10:52:29Z
CREAM-20260804-00028,Carolyn Gonzalez,carolyng@outlook.com,(334) 287-2527,Huntington Real Estate,Cleveland,OH,44198,3,23,A,64,Facebook,2026-08-04T04:35:03Z
CREAM-20260804-00029,Jessica Evans,jessica_evans@aol.com,(929) 560-2697,Compass,Aurora,CO,80258,7,24,A,98,Trade Show,2026-08-04T07:54:06Z
CREAM-20260804-00030,Melissa Anderson,melissa_anderson@aol.com,(720) 858-1430,eXp Realty,Aurora,CO,81129,2,12,A,99,Brokerage Listings,2026-08-04T08:44:48Z
CREAM-20260804-00031,Brian Smith,briansmith@me.com,(513) 848-1502,Coldwell Banker,Mesa,AZ,85864,4,10,A,69,Website Lead,2026-08-04T06:24:26Z
CREAM-20260804-00032,Christopher Mitchell,christophermitchell@icloud.com,(602) 972-1815,eXp Realty,Raleigh,NC,27378,0,0,A,69,Trade Show,2026-08-04T21:27:31Z
CREAM-20260804-00033,Paul Ramirez,paul.ramirez@outlook.com,(407) 883-6053,RE/MAX,Raleigh,NC,27325,2,12,A,91,Referral Network,2026-08-04T19:03:00Z
CREAM-20260804-00034,Margaret Foster,margaretf@outlook.com,(513) 640-3878,Sotheby's International,Queens,NY,11489,9,15,A,91,Website Lead,2026-08-04T22:14:32Z
CREAM-20260804-00035,Ronald Patel,ronald_patel@gmail.com,(646) 614-7843,Keller Williams,Denver,CO,81217,1,12,A,87,Referral Network,2026-08-04T00:20:10Z
CREAM-20260804-00036,George Lopez,glopez@hotmail.com,(334) 605-6083,Howard Hanna,Greensboro,NC,28326,24,50,A,93,Facebook,2026-08-04T05:04:32Z
CREAM-20260804-00037,Shirley Harris,sharris@yahoo.com,(714) 377-3504,Briggs Freeman Sotheby's,Fort Worth,TX,75281,3,12,A,76,Trade Show,2026-08-04T14:48:36Z
CREAM-20260804-00038,Larry Chavez,larryc@yahoo.com,(305) 846-5961,Allen Tate,Greensboro,NC,28705,4,10,A,90,NAR Directory,2026-08-04T11:32:04Z
CREAM-20260804-00039,Sharon Jones,sharonj@gmail.com,(407) 593-8581,Keller Williams,Scottsdale,AZ,85560,8,34,A,98,Cold Outreach,2026-08-04T20:12:20Z
CREAM-20260804-00040,Karen Davis,kdavis@compass.com,(256) 453-8172,Compass,Greensboro,NC,28636,8,31,A,71,Website Lead,2026-08-04T19:10:23Z
CREAM-20260804-00041,Deborah Evans,deborah.evans@aol.com,(404) 771-7333,Compass,Colorado Springs,CO,81358,16,29,A,81,Cold Outreach,2026-08-04T04:21:05Z
CREAM-20260804-00042,Michelle Wood,michellew@compass.com,(512) 858-6381,Compass,Orlando,FL,32786,8,24,A,95,Website Lead,2026-08-04T02:41:42Z
CREAM-20260804-00043,George Williams,gwilliams@outlook.com,(512) 358-2264,Huntington Real Estate,Cincinnati,OH,44964,1,6,A,74,MLS Database,2026-08-04T16:49:34Z
CREAM-20260804-00044,Carol Foster,cfoster@yahoo.com,(919) 369-8170,Coldwell Banker,Oakland,CA,90520,11,78,A,99,Facebook,2026-08-04T21:46:15Z
CREAM-20260804-00045,Andrew Long,andrew.long@compass.com,(469) 398-7026,Compass,Greensboro,NC,28572,15,76,A,90,LinkedIn,2026-08-04T12:32:33Z
CREAM-20260804-00046,Betty Perry,betty.perry@me.com,(972) 305-9452,Coldwell Banker,Columbus,OH,43391,1,8,A,95,MLS Database,2026-08-04T05:17:28Z
CREAM-20260804-00047,Barbara Lewis,barbara.lewis@hotmail.com,(415) 441-7326,Douglas Elliman,Jacksonville,FL,32483,7,27,A,92,Realtor.com,2026-08-04T00:20:59Z
CREAM-20260804-00048,Katherine Nelson,knelson@coldwellbanker.com,(704) 922-8685,Coldwell Banker,El Paso,TX,78730,21,69,A,68,NAR Directory,2026-08-04T02:01:16Z
CREAM-20260804-00049,Stephen Sanders,ssanders@halstead.com,(256) 444-7878,Halstead,Brooklyn,NY,14568,3,17,A,67,MLS Database,2026-08-04T03:53:57Z
CREAM-20260804-00050,Jonathan Williams,jonathanw@hotmail.com,(805) 784-7825,Berkshire Hathaway,Greensboro,NC,27780,6,34,A,82,MLS Database,2026-08-04T16:23:04Z
CREAM-20260804-00051,Jacob Garcia,jacobg@me.com,(415) 446-2698,Compass,San Jose,CA,96695,6,26,A,64,Facebook,2026-08-04T04:02:22Z
CREAM-20260804-00052,Daniel Jimenez,daniel_jimenez@me.com,(614) 994-8498,8z Real Estate,Aurora,CO,80400,0,1,A,64,Realtor.com,2026-08-04T01:50:12Z
CREAM-20260804-00053,Michelle Rogers,michellerogers@hotmail.com,(929) 565-1783,Compass,San Diego,CA,96771,14,27,A,72,Facebook,2026-08-04T08:07:51Z
CREAM-20260804-00054,Stephanie Myers,stephanie_myers@outlook.com,(415) 731-5369,8z Real Estate,Colorado Springs,CO,80844,11,56,A,91,Referral Network,2026-08-04T02:27:38Z
CREAM-20260804-00055,Donna Adams,donnaa@re/max.com,(718) 934-7981,RE/MAX,Fort Lauderdale,FL,32806,15,44,A,88,Trade Show,2026-08-04T11:28:02Z
CREAM-20260804-00056,Laura Scott,lauras@kellerwilliams.com,(919) 967-3621,Keller Williams,Aurora,CO,80246,4,19,A,92,Cold Outreach,2026-08-04T21:50:28Z
CREAM-20260804-00057,William Walker,williamwalker@gmail.com,(415) 580-8273,eXp Realty,San Francisco,CA,96178,5,12,A,88,Cold Outreach,2026-08-04T04:33:23Z
CREAM-20260804-00058,Katherine Scott,katherine.scott@me.com,(512) 775-2929,Berkshire Hathaway,Cleveland,OH,44893,0,3,A,93,LinkedIn,2026-08-04T22:28:13Z
CREAM-20260804-00059,Betty Thomas,betty_thomas@yahoo.com,(720) 555-2063,Coldwell Banker,Scottsdale,AZ,86407,20,30,A,80,Brokerage Listings,2026-08-04T22:45:59Z
CREAM-20260804-00060,Shirley Lewis,slewis@yahoo.com,(212) 786-7044,RE/MAX,Orlando,FL,33922,4,8,A,83,Website Lead,2026-08-04T04:39:56Z
CREAM-20260804-00061,Michelle Gomez,michelle_gomez@aol.com,(310) 857-2215,Douglas Elliman,Houston,TX,78577,5,10,A,68,Website Lead,2026-08-04T11:08:56Z
CREAM-20260804-00062,Laura Cook,lauracook@yahoo.com,(310) 926-4694,Keller Williams Realty,Tampa,FL,33631,15,35,A,70,LinkedIn,2026-08-04T02:16:12Z
CREAM-20260804-00063,Benjamin Hill,bhill@icloud.com,(720) 839-6531,RE/MAX,Tucson,AZ,85945,5,12,A,70,NAR Directory,2026-08-04T02:02:41Z
CREAM-20260804-00064,Jerry Kelly,jerry.kelly@hotmail.com,(786) 450-7653,Long Realty,Tucson,AZ,86564,23,43,A,79,MLS Database,2026-08-04T22:03:10Z
CREAM-20260804-00065,Kathleen Reyes,kreyes@outlook.com,(512) 333-7070,Berkshire Hathaway,Raleigh,NC,27426,16,71,A,82,Realtor.com,2026-08-04T14:07:17Z
CREAM-20260804-00066,Charles Gonzalez,cgonzalez@kellerwilliams.com,(214) 363-6364,Keller Williams,Charlotte,NC,28294,2,9,A,75,Brokerage Listings,2026-08-04T15:32:29Z
CREAM-20260804-00067,Amy Williams,amywilliams@hotmail.com,(415) 249-1828,RE/MAX,Raleigh,NC,28606,13,38,A,97,Cold Outreach,2026-08-04T20:43:30Z
