full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Aaron Hall,Aaron,Hall,hall.aaron@outlook.com,(419) 642-7826,United Real Estate,Austin,TX,4,11,1838344,TX565141,TX,3.7,74,A,realtor_scraper,2026-06-03T07:09:13.979458+00:00
Mary King,Mary,King,mary48@redfin.com,(316) 406-9833,United Real Estate,Houston,TX,7,0,412777,TX150126,TX,0.0,61,A,realtor_scraper,2026-06-03T07:09:13.974261+00:00
Amanda Nelson,Amanda,Nelson,nelson.amanda@century21.com,(906) 777-2934,Taylor Morrison,Charlotte,NC,17,11,6136895,NC302407,NC,3.7,72,A,realtor_scraper,2026-06-03T07:09:13.777823+00:00
Kimberly Ramos,Kimberly,Ramos,kimberly.ramos@berkshirehathawayhs.com,(424) 986-3072,HomeSmart,Boise,ID,2,2,149638,ID719903,ID,4.0,61,C,realtor_scraper,2026-06-03T07:09:14.775093+00:00
Debra Mendoza,Debra,Mendoza,mendoza.debra@berkshirehathawayhs.com,(269) 276-7438,Ryan Homes,Chicago,IL,24,48,11719722,IL409385,IL,3.6,87,A,realtor_scraper,2026-06-03T07:09:13.973408+00:00
Cynthia Miller,Cynthia,Miller,cmiller@coldwellbanker.com,(941) 778-7011,United Real Estate,Colorado Springs,CO,4,22,5310799,CO658076,CO,4.3,65,C,realtor_scraper,2026-06-03T07:09:14.774299+00:00
Jennifer Ward,Jennifer,Ward,jennifer.ward@redfin.com,(909) 907-7288,Lennar,Baton Rouge,LA,17,49,10319225,LA547562,LA,4.0,93,C,realtor_scraper,2026-06-03T07:09:14.773198+00:00
Jacob Clark,Jacob,Clark,jacobc@elliman.com,(713) 452-6378,Tri Pointe Homes,Raleigh,NC,6,11,1893954,NC854426,NC,3.8,79,B,realtor_scraper,2026-06-03T07:09:14.375445+00:00
Alexander Martin,Alexander,Martin,martin.alexander@remax.net,(314) 787-8116,Redfin,Baltimore,MD,0,10,887774,MD980807,MD,3.6,86,B,realtor_scraper,2026-06-03T07:09:14.576367+00:00
David Myers,David,Myers,davidm@kw.com,(507) 841-5491,Berkshire Hathaway,Los Angeles,CA,2,4,63597,CA849724,CA,4.7,67,A,realtor_scraper,2026-06-03T07:09:14.176132+00:00
Laura Mendoza,Laura,Mendoza,mendoza.laura@gmail.com,(801) 750-4113,Ryan Homes,San Francisco,CA,4,10,1387582,CA624789,CA,4.3,84,A,realtor_scraper,2026-06-03T07:09:14.174113+00:00
Betty James,Betty,James,bettyj@weichert.com,(407) 799-9608,Pulte Homes,San Jose,CA,2,0,84830,CA155640,CA,0.0,57,B,realtor_scraper,2026-06-03T07:09:14.575822+00:00
Nancy Mendoza,Nancy,Mendoza,nancym@realtyonegroup.com,(513) 346-5639,CalAtlantic Homes,Kansas City,MO,3,11,6203053,MO130427,MO,3.6,92,B,realtor_scraper,2026-06-03T07:09:14.574728+00:00
Daniel Walker,Daniel,Walker,daniel.walker@elliman.com,(478) 816-8893,Pulte Homes,Minneapolis,MN,2,26,6633588,MN669819,MN,4.5,71,B,realtor_scraper,2026-06-03T07:09:14.576980+00:00
Gary Wright,Gary,Wright,wright.gary@berkshirehathawayhs.com,(814) 608-5717,Berkshire Hathaway,Tucson,AZ,0,28,11669007,AZ444736,AZ,3.9,77,C,realtor_scraper,2026-06-03T07:09:14.775019+00:00
Alexander Mitchell,Alexander,Mitchell,mitchell.alexander@century21.com,(425) 794-8668,NVR,Baton Rouge,LA,8,9,1644137,LA880927,LA,4.5,68,C,realtor_scraper,2026-06-03T07:09:14.579217+00:00
Emily Lee,Emily,Lee,lee.emily@coldwellbanker.com,(661) 324-9410,Berkshire Hathaway,Columbus,OH,12,5,451603,OH765245,OH,4.1,89,B,realtor_scraper,2026-06-03T07:09:14.178330+00:00
Thomas Nguyen,Thomas,Nguyen,thomas.nguyen@remax.net,(267) 820-8478,Century 21,Seattle,WA,4,26,5600861,WA380317,WA,4.7,63,A,realtor_scraper,2026-06-03T07:09:13.979599+00:00
Angela Price,Angela,Price,aprice@exprealty.com,(904) 521-6004,Nest Seekers,San Diego,CA,3,21,14505764,CA848110,CA,4.0,83,A,realtor_scraper,2026-06-03T07:09:13.980589+00:00
Jack Reed,Jack,Reed,reed.jack@remax.net,(650) 405-1746,United Real Estate,Chicago,IL,3,31,6965266,IL250412,IL,3.9,86,A,realtor_scraper,2026-06-03T07:09:13.979535+00:00
Christine Patel,Christine,Patel,christine.patel@exprealty.com,(918) 822-1279,Sotheby's,Miami,FL,22,16,9041919,FL913419,FL,4.0,63,A,realtor_scraper,2026-06-03T07:09:13.976221+00:00
Donna Anderson,Donna,Anderson,anderson.donna@realtor.com,(985) 952-9012,Realty One Group,San Diego,CA,1,16,10153618,CA791684,CA,4.9,72,A,realtor_scraper,2026-06-03T07:09:14.177292+00:00
Stephen Williams,Stephen,Williams,stephen.williams@hotmail.com,(615) 944-3106,Realty One Group,Philadelphia,PA,4,16,2057956,PA700853,PA,4.0,93,A,realtor_scraper,2026-06-03T07:09:14.174066+00:00
