full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Jason Turner,Jason,Turner,turner.jason@realtyonegroup.com,(747) 239-3796,Sotheby's,San Antonio,TX,4,13,699731,TX673457,TX,3.9,61,B,realtor_scraper,2026-03-30T07:30:16.853456+00:00
Kimberly Nguyen,Kimberly,Nguyen,nguyen.kimberly@coldwellbanker.com,(908) 349-6703,Taylor Morrison,San Jose,CA,10,14,13697146,CA642931,CA,3.9,80,B,realtor_scraper,2026-03-30T07:30:16.853498+00:00
Anthony Johnson,Anthony,Johnson,anthony.johnson@elliman.com,(747) 550-7560,Sotheby's,Atlanta,GA,16,10,14616941,GA863511,GA,3.7,100,A,realtor_scraper,2026-03-30T07:30:16.853517+00:00
Amanda Campbell,Amanda,Campbell,amandac@compass.com,(412) 570-9941,Tri Pointe Homes,Detroit,MI,22,41,11251068,MI781721,MI,3.9,79,B,realtor_scraper,2026-03-30T07:30:16.853561+00:00
Jacob Carter,Jacob,Carter,jacob.carter@exprealty.com,(941) 834-4826,Vylla Home,Baton Rouge,LA,19,24,10778755,LA940407,LA,4.6,96,C,realtor_scraper,2026-03-30T07:30:16.853577+00:00
Karen Murphy,Karen,Murphy,murphy.karen@outlook.com,(774) 534-6511,D.R. Horton,Albuquerque,NM,12,16,4303644,NM889800,NM,5.0,72,C,realtor_scraper,2026-03-30T07:30:16.853593+00:00
Angela Patel,Angela,Patel,patel.angela@hotmail.com,(310) 535-5049,Sotheby's,New Orleans,LA,21,29,14208802,LA779988,LA,4.3,75,C,realtor_scraper,2026-03-30T07:30:16.853607+00:00
Carolyn Mendoza,Carolyn,Mendoza,carolynm@elliman.com,(612) 549-4958,Sotheby's,Boston,MA,12,40,3144733,MA248827,MA,4.7,70,A,realtor_scraper,2026-03-30T07:30:16.853623+00:00
Nancy Gray,Nancy,Gray,ngray@hotmail.com,(614) 502-6868,Tri Pointe Homes,Minneapolis,MN,11,41,14912502,MN368994,MN,4.6,94,B,realtor_scraper,2026-03-30T07:30:16.853776+00:00
Brenda Mitchell,Brenda,Mitchell,brendam@homesmart.com,(725) 575-3232,Vylla Home,Los Angeles,CA,10,31,4240705,CA841982,CA,4.6,78,A,realtor_scraper,2026-03-30T07:30:16.853796+00:00
Emily Peterson,Emily,Peterson,peterson.emily@compass.com,(903) 426-8353,Nest Seekers,Baton Rouge,LA,7,20,4239891,LA397558,LA,4.0,90,C,realtor_scraper,2026-03-30T07:30:16.853814+00:00
Christopher Wright,Christopher,Wright,wright.christopher@gmail.com,(856) 226-6159,NVR,Salt Lake City,UT,22,28,11250300,UT670523,UT,3.7,71,B,realtor_scraper,2026-03-30T07:30:16.853829+00:00
Kathleen Scott,Kathleen,Scott,kathleen49@elliman.com,(956) 944-7891,Lennar,Nashville,TN,2,12,1755703,TN175923,TN,4.1,91,A,realtor_scraper,2026-03-30T07:30:16.853844+00:00
Nicholas Parker,Nicholas,Parker,nparker@coldwellbanker.com,(626) 796-4612,Keller Williams,Colorado Springs,CO,1,2,280799,CO459638,CO,5.0,57,C,realtor_scraper,2026-03-30T07:30:16.853875+00:00
Michelle Ramirez,Michelle,Ramirez,michelle.ramirez@compass.com,(985) 771-6904,eXp Realty,Austin,TX,1,5,20167,TX164487,TX,4.4,75,A,realtor_scraper,2026-03-30T07:30:16.853889+00:00
Patrick Torres,Patrick,Torres,patrick.torres@redfin.com,(682) 312-2679,Vylla Home,Houston,TX,22,25,6553146,TX501527,TX,4.3,63,A,realtor_scraper,2026-03-30T07:30:16.853903+00:00
Scott Turner,Scott,Turner,sturner@century21.com,(732) 955-6795,Douglas Elliman,Riverside,CA,17,25,10093538,CA345256,CA,3.7,80,B,realtor_scraper,2026-03-30T07:30:16.853916+00:00
Eric Price,Eric,Price,eric43@weichert.com,(802) 793-7580,RE/MAX,Richmond,VA,1,3,58602,VA653827,VA,3.7,71,C,realtor_scraper,2026-03-30T07:30:16.853943+00:00
Scott Howard,Scott,Howard,scott64@gmail.com,(315) 835-3394,NVR,Kansas City,MO,21,37,10437538,MO869395,MO,4.8,91,B,realtor_scraper,2026-03-30T07:30:16.853957+00:00
Ryan Brooks,Ryan,Brooks,ryan78@compass.com,(308) 983-6555,The Agency,Minneapolis,MN,1,4,456161,MN603293,MN,4.6,83,B,realtor_scraper,2026-03-30T07:30:16.853970+00:00
Timothy Sanders,Timothy,Sanders,tsanders@homesmart.com,(570) 623-9768,Realty One Group,Raleigh,NC,2,7,1793443,NC803877,NC,4.6,80,B,realtor_scraper,2026-03-30T07:30:16.853989+00:00
Catherine Hall,Catherine,Hall,chall@weichert.com,(415) 565-4223,Berkshire Hathaway,Tampa,FL,15,16,2457285,FL548417,FL,4.1,65,A,realtor_scraper,2026-03-30T07:30:16.854004+00:00
Ruth Rivera,Ruth,Rivera,rrivera@hotmail.com,(865) 266-5537,Century 21,Albuquerque,NM,19,36,4031405,NM314854,NM,3.5,93,C,realtor_scraper,2026-03-30T07:30:16.854018+00:00
Stephanie Evans,Stephanie,Evans,sevans@homesmart.com,(217) 627-5457,Realty One Group,Portland,OR,16,32,12226422,OR759041,OR,3.5,100,B,realtor_scraper,2026-03-30T07:30:16.854043+00:00
Emily Thomas,Emily,Thomas,emilyt@hotmail.com,(703) 649-3286,RE/MAX,Kansas City,MO,5,41,9310391,MO676910,MO,3.5,92,B,realtor_scraper,2026-03-30T07:30:16.854055+00:00
Justin Parker,Justin,Parker,justin.parker@coldwellbanker.com,(330) 751-5114,Compass,Albuquerque,NM,25,26,14567286,NM857245,NM,4.7,70,C,realtor_scraper,2026-03-30T07:30:16.854086+00:00
Catherine Brooks,Catherine,Brooks,brooks.catherine@kw.com,(442) 327-2834,M/I Homes,Miami,FL,5,22,11462249,FL420182,FL,3.6,75,A,realtor_scraper,2026-03-30T07:30:16.854099+00:00
Barbara Ruiz,Barbara,Ruiz,barbarar@berkshirehathawayhs.com,(972) 980-3555,Tri Pointe Homes,Atlanta,GA,9,19,13513722,GA179423,GA,3.8,100,A,realtor_scraper,2026-03-30T07:30:16.854113+00:00
Jason White,Jason,White,jason.white@yahoo.com,(567) 326-4722,Coldwell Banker,Colorado Springs,CO,6,22,9747458,CO202073,CO,4.1,93,C,realtor_scraper,2026-03-30T07:30:16.854126+00:00
Carol Turner,Carol,Turner,carolt@gmail.com,(214) 485-7324,CalAtlantic Homes,Seattle,WA,8,48,12637497,WA371373,WA,4.2,96,A,realtor_scraper,2026-03-30T07:30:16.854149+00:00
Kimberly Morales,Kimberly,Morales,kimberly.morales@kw.com,(702) 273-8881,Realty One Group,Louisville,KY,14,39,14765907,KY548712,KY,3.8,100,C,realtor_scraper,2026-03-30T07:30:16.854164+00:00
Sarah Davis,Sarah,Davis,sdavis@outlook.com,(857) 822-6019,Coldwell Banker,Houston,TX,3,11,749981,TX657651,TX,3.5,61,A,realtor_scraper,2026-03-30T07:30:16.854180+00:00
Melissa Bennett,Melissa,Bennett,mbennett@century21.com,(423) 945-3434,Weichert,Chicago,IL,16,30,6301751,IL481294,IL,3.7,61,A,realtor_scraper,2026-03-30T07:30:16.854194+00:00
Lisa Price,Lisa,Price,price.lisa@realtor.com,(321) 943-8278,HomeSmart,Miami,FL,22,46,6170708,FL223365,FL,4.8,65,A,realtor_scraper,2026-03-30T07:30:16.854221+00:00
Patricia Green,Patricia,Green,patriciag@coldwellbanker.com,(657) 668-8710,Lennar,Albuquerque,NM,4,8,648083,NM607549,NM,4.7,69,C,realtor_scraper,2026-03-30T07:30:16.854234+00:00
Robert Watson,Robert,Watson,robert31@century21.com,(724) 425-4417,RE/MAX,Tucson,AZ,2,3,1137054,AZ804226,AZ,4.9,93,C,realtor_scraper,2026-03-30T07:30:16.854248+00:00
Nicholas Jones,Nicholas,Jones,jones.nicholas@coldwellbanker.com,(754) 459-7769,Tri Pointe Homes,Oklahoma City,OK,19,20,5258569,OK409348,OK,4.7,93,C,realtor_scraper,2026-03-30T07:30:16.854261+00:00
Andrew Collins,Andrew,Collins,acollins@weichert.com,(502) 253-2607,The Agency,Jacksonville,FL,9,37,3304205,FL525036,FL,4.2,61,B,realtor_scraper,2026-03-30T07:30:16.854274+00:00
Tyler Diaz,Tyler,Diaz,tylerd@berkshirehathawayhs.com,(801) 849-7277,Compass,Sacramento,CA,24,15,12264245,CA319863,CA,4.9,74,B,realtor_scraper,2026-03-30T07:30:16.854287+00:00
Jennifer Kim,Jennifer,Kim,jennifer.kim@realtyonegroup.com,(207) 702-3927,Vylla Home,Minneapolis,MN,12,42,4541828,MN958772,MN,4.0,62,B,realtor_scraper,2026-03-30T07:30:16.854300+00:00
Samantha Taylor,Samantha,Taylor,samantha.taylor@exprealty.com,(702) 904-1494,The Agency,Albuquerque,NM,0,1,382592,NM946181,NM,4.1,74,C,realtor_scraper,2026-03-30T07:30:16.854313+00:00
Jonathan Perez,Jonathan,Perez,jonathan89@remax.net,(601) 495-6316,Realty One Group,Louisville,KY,24,28,12779102,KY862170,KY,4.5,97,C,realtor_scraper,2026-03-30T07:30:16.854335+00:00
Maria Rivera,Maria,Rivera,maria.rivera@compass.com,(717) 478-9793,ERA,Cleveland,OH,23,34,12241968,OH860367,OH,3.5,100,B,realtor_scraper,2026-03-30T07:30:16.854351+00:00
Stephen Bennett,Stephen,Bennett,stephen.bennett@remax.net,(410) 593-4175,NVR,Memphis,TN,17,40,11695520,TN639721,TN,5.0,73,C,realtor_scraper,2026-03-30T07:30:16.854522+00:00
Justin Lopez,Justin,Lopez,jlopez@coldwellbanker.com,(832) 531-7772,Weichert,Baton Rouge,LA,10,24,3193279,LA323030,LA,3.8,80,C,realtor_scraper,2026-03-30T07:30:16.854558+00:00
Amanda Patel,Amanda,Patel,amandap@kw.com,(785) 313-6871,Meritage Homes,Indianapolis,IN,8,16,7077104,IN474820,IN,4.7,85,B,realtor_scraper,2026-03-30T07:30:16.854574+00:00
Samantha Evans,Samantha,Evans,samanthae@sothebysrealty.com,(954) 754-6428,D.R. Horton,Nashville,TN,6,46,8796094,TN293900,TN,4.0,86,A,realtor_scraper,2026-03-30T07:30:16.854588+00:00
Anna Moore,Anna,Moore,amoore@outlook.com,(334) 937-4786,Meritage Homes,Nashville,TN,7,27,5953675,TN725410,TN,4.2,74,A,realtor_scraper,2026-03-30T07:30:16.854602+00:00
Jack King,Jack,King,jking@redfin.com,(773) 711-9947,Tri Pointe Homes,Tampa,FL,23,29,5152568,FL328990,FL,3.9,82,A,realtor_scraper,2026-03-30T07:30:16.854627+00:00
Edward Myers,Edward,Myers,edward.myers@berkshirehathawayhs.com,(270) 787-6570,Ryan Homes,Baton Rouge,LA,1,4,244256,LA594328,LA,3.9,86,C,realtor_scraper,2026-03-30T07:30:16.854640+00:00
Larry Gray,Larry,Gray,larryg@weichert.com,(602) 614-4444,Pulte Homes,Baton Rouge,LA,21,35,1759157,LA995324,LA,4.1,70,C,realtor_scraper,2026-03-30T07:30:16.854654+00:00
Joseph Williams,Joseph,Williams,williams.joseph@century21.com,(937) 434-2637,Century Communities,Las Vegas,NV,1,0,56645,NV911625,NV,0.0,56,A,realtor_scraper,2026-03-30T07:30:16.854668+00:00
Carol Nelson,Carol,Nelson,carol76@realtyonegroup.com,(513) 390-4111,Ryan Homes,Milwaukee,WI,15,40,8526591,WI983851,WI,3.9,73,C,realtor_scraper,2026-03-30T07:30:16.854683+00:00
Robert Ross,Robert,Ross,ross.robert@outlook.com,(210) 540-4860,ERA,Tucson,AZ,5,48,7132583,AZ549973,AZ,4.3,72,C,realtor_scraper,2026-03-30T07:30:16.854719+00:00
Jennifer Phillips,Jennifer,Phillips,jennifer13@realtyonegroup.com,(502) 461-6914,LGI Homes,Memphis,TN,21,26,5699618,TN719009,TN,4.0,79,C,realtor_scraper,2026-03-30T07:30:16.854734+00:00
Maria Garcia,Maria,Garcia,maria27@realtyonegroup.com,(334) 925-3825,ERA,Tucson,AZ,5,26,3477863,AZ830974,AZ,4.8,72,C,realtor_scraper,2026-03-30T07:30:16.854748+00:00
Susan Cox,Susan,Cox,susan81@coldwellbanker.com,(501) 964-3699,United Real Estate,San Antonio,TX,13,45,8449558,TX157478,TX,4.6,90,B,realtor_scraper,2026-03-30T07:30:16.854762+00:00
Catherine Gonzalez,Catherine,Gonzalez,catherine.gonzalez@redfin.com,(253) 606-4517,M/I Homes,Reno,NV,14,26,2573981,NV454657,NV,4.7,93,C,realtor_scraper,2026-03-30T07:30:16.854775+00:00
Jeffrey Scott,Jeffrey,Scott,jeffrey.scott@exprealty.com,(415) 878-1469,Better Homes & Gardens,Jacksonville,FL,24,19,7289799,FL499398,FL,4.3,88,B,realtor_scraper,2026-03-30T07:30:16.854789+00:00
Carolyn Hall,Carolyn,Hall,hall.carolyn@yahoo.com,(724) 662-6043,The Agency,Atlanta,GA,13,35,13399783,GA551865,GA,3.9,100,A,realtor_scraper,2026-03-30T07:30:16.854801+00:00
Eric James,Eric,James,james.eric@homesmart.com,(762) 561-3958,Realty One Group,Seattle,WA,11,25,7861897,WA101770,WA,4.1,61,A,realtor_scraper,2026-03-30T07:30:16.854815+00:00
Samantha Stewart,Samantha,Stewart,samanthas@compass.com,(951) 635-1471,Century 21,Louisville,KY,25,42,11643420,KY537866,KY,4.9,78,C,realtor_scraper,2026-03-30T07:30:16.854828+00:00
Ronald Long,Ronald,Long,ronaldl@realtor.com,(501) 682-2588,Ryan Homes,Minneapolis,MN,17,18,5588488,MN550764,MN,4.1,94,B,realtor_scraper,2026-03-30T07:30:16.854840+00:00
Janet Cox,Janet,Cox,janetc@coldwellbanker.com,(806) 544-6028,eXp Realty,Tucson,AZ,20,27,14084776,AZ568007,AZ,4.6,92,C,realtor_scraper,2026-03-30T07:30:16.854864+00:00
Helen Baker,Helen,Baker,baker.helen@redfin.com,(712) 995-8183,HomeSmart,Phoenix,AZ,13,10,10750935,AZ673699,AZ,3.7,97,A,realtor_scraper,2026-03-30T07:30:16.854879+00:00
Timothy Rogers,Timothy,Rogers,trogers@homesmart.com,(575) 987-6966,Pulte Homes,Columbus,OH,17,18,7030357,OH459775,OH,4.1,93,B,realtor_scraper,2026-03-30T07:30:16.854905+00:00
Angela Gonzalez,Angela,Gonzalez,angela87@weichert.com,(952) 658-2476,Vylla Home,Tucson,AZ,13,18,9298358,AZ257862,AZ,3.8,67,C,realtor_scraper,2026-03-30T07:30:16.854918+00:00
Timothy Martin,Timothy,Martin,martin.timothy@berkshirehathawayhs.com,(323) 855-2992,Compass,Reno,NV,2,5,1445074,NV732067,NV,4.0,82,C,realtor_scraper,2026-03-30T07:30:16.854930+00:00
Helen Hughes,Helen,Hughes,helen33@century21.com,(772) 839-1926,D.R. Horton,Phoenix,AZ,9,20,1553053,AZ432309,AZ,4.0,67,A,realtor_scraper,2026-03-30T07:30:16.854943+00:00
Charles Smith,Charles,Smith,csmith@hotmail.com,(612) 272-5218,Beazer Homes,Houston,TX,3,3,1691812,TX716365,TX,3.8,65,A,realtor_scraper,2026-03-30T07:30:16.854956+00:00
Janet Rivera,Janet,Rivera,janetr@homesmart.com,(308) 833-3532,Sotheby's,Baltimore,MD,14,26,11101408,MD611215,MD,4.7,79,B,realtor_scraper,2026-03-30T07:30:16.854970+00:00
John Wilson,John,Wilson,wilson.john@realtor.com,(920) 626-5416,Century Communities,Portland,OR,6,17,3053418,OR616034,OR,4.1,71,B,realtor_scraper,2026-03-30T07:30:16.854983+00:00
Nicholas Hughes,Nicholas,Hughes,hughes.nicholas@elliman.com,(970) 797-3962,Toll Brothers,Charlotte,NC,11,11,14388408,NC584352,NC,4.1,100,A,realtor_scraper,2026-03-30T07:30:16.854996+00:00
John Alvarez,John,Alvarez,jalvarez@outlook.com,(813) 418-4467,Century 21,Indianapolis,IN,18,16,7301936,IN912971,IN,4.4,72,B,realtor_scraper,2026-03-30T07:30:16.855019+00:00
Jeffrey Morgan,Jeffrey,Morgan,morgan.jeffrey@coldwellbanker.com,(361) 776-2190,Ryan Homes,Indianapolis,IN,21,29,11212785,IN509463,IN,4.1,91,B,realtor_scraper,2026-03-30T07:30:16.855032+00:00
Andrew Lopez,Andrew,Lopez,andrew.lopez@outlook.com,(636) 222-9624,Douglas Elliman,Jacksonville,FL,18,17,13997798,FL828970,FL,4.3,100,B,realtor_scraper,2026-03-30T07:30:16.855045+00:00
Rebecca Taylor,Rebecca,Taylor,rebecca.taylor@outlook.com,(252) 551-2212,Lennar,Atlanta,GA,11,47,6595359,GA327222,GA,3.7,61,A,realtor_scraper,2026-03-30T07:30:16.855059+00:00
Katherine Robinson,Katherine,Robinson,katherine.robinson@outlook.com,(651) 242-8153,Century Communities,Atlanta,GA,3,6,1742404,GA678051,GA,4.8,64,A,realtor_scraper,2026-03-30T07:30:16.855104+00:00
Brenda Cruz,Brenda,Cruz,brendac@realtyonegroup.com,(432) 587-3967,Ryan Homes,Seattle,WA,22,39,6980656,WA834498,WA,4.4,90,A,realtor_scraper,2026-03-30T07:30:16.855127+00:00
Rachel Campbell,Rachel,Campbell,rachel10@remax.net,(228) 377-7763,Zillow Premier,Las Vegas,NV,17,30,13119693,NV702154,NV,4.9,75,A,realtor_scraper,2026-03-30T07:30:16.855141+00:00
Robert Hall,Robert,Hall,roberth@realtyonegroup.com,(901) 398-2590,Ryan Homes,Raleigh,NC,24,14,5675144,NC886454,NC,3.6,87,B,realtor_scraper,2026-03-30T07:30:16.855154+00:00
Samantha Torres,Samantha,Torres,samantha.torres@gmail.com,(951) 373-8003,Ryan Homes,Jacksonville,FL,4,12,701625,FL573977,FL,4.2,90,B,realtor_scraper,2026-03-30T07:30:16.855167+00:00
Brian Harris,Brian,Harris,harris.brian@weichert.com,(818) 856-6299,NVR,Riverside,CA,1,2,349061,CA847443,CA,4.6,57,B,realtor_scraper,2026-03-30T07:30:16.855180+00:00
Joseph Anderson,Joseph,Anderson,janderson@remax.net,(940) 375-3548,CalAtlantic Homes,Jacksonville,FL,19,42,10471071,FL884970,FL,3.9,95,B,realtor_scraper,2026-03-30T07:30:16.950629+00:00
Andrew Anderson,Andrew,Anderson,andrewa@realtor.com,(336) 921-5734,Century 21,Reno,NV,24,13,11828650,NV540007,NV,4.1,94,C,realtor_scraper,2026-03-30T07:30:16.950728+00:00
Ashley Cruz,Ashley,Cruz,ashley.cruz@elliman.com,(575) 639-9522,United Real Estate,San Jose,CA,13,28,12789335,CA102895,CA,4.3,100,B,realtor_scraper,2026-03-30T07:30:16.950749+00:00
